id,name,latitude,longitude,type,dongCode
132,대치역1번출구,37.4938592964,127.0614984174,bus,106
133,래미안대치팰리스,37.4925595861,127.0585796232,bus,106
134,도곡역3번출구,37.4911818874,127.0565474837,bus,106
135,대치동우성아파트,37.4925770923,127.0596110202,bus,106
136,대치역8번출구,37.4936775701,127.0620595908,bus,106
137,대치역7번출구.선경아파트,37.492458,127.06408,bus,106
138,그랑프리백화점,37.4902578609,127.0557033053,bus,106
139,은마아파트,37.4955959062,127.0628615031,bus,106
140,은마파출소,37.4980989737,127.0615233829,bus,106
141,은마아파트,37.4994452048,127.0632605821,bus,106
142,대치동은마아파트,37.4984286024,127.0683966854,bus,106
143,은마아파트,37.4957666584,127.0669737834,bus,106
144,대치동미도아파트,37.4956049426,127.0677076244,bus,106
145,대치역6번출구.강남구민회관,37.492785,127.064278,bus,106
146,쌍용아파트,37.4981062966,127.0694459465,bus,106
147,선릉역,37.505447,127.051217,bus,105
148,삼성역,37.5074914751,127.0643170582,bus,106
149,강남경찰서.강남운전면허시험장,37.5097831979,127.0671559796,bus,106
150,삼성역,37.507599584,127.0634216617,bus,106
151,휘문고.대치2동주민센터,37.5035340192,127.0656234398,bus,106
152,래미안하이스턴.대치순복음교회,37.4999449909,127.0638660962,bus,106
153,대치현대아파트,37.5010563167,127.0599174839,bus,106
154,휘문중고등학교,37.5039658555,127.0618980584,bus,106
155,휘문중고등학교,37.5040741974,127.0614966158,bus,106
156,대치사거리,37.5035402301,127.058517043,bus,106
157,한국무역센터.삼성역,37.5081065399,127.0616639386,bus,106
158,한티역,37.4981160997,127.0521475206,bus,106
159,도성초등학교,37.5001223629,127.0512135652,bus,106
160,도성초교사거리,37.5006961294,127.0517545871,bus,106
161,영동농협풍림아이원아파트,37.5021979661,127.0563510713,bus,106
162,영동농협풍림아이원아파트,37.502541078,127.0567856535,bus,106
163,도성초교사거리,37.5009078795,127.0517750918,bus,106
164,진선여자중고등학교,37.5027442041,127.049965539,bus,106
165,선릉역,37.5047611955,127.050462265,bus,106
166,포스코빌딩,37.5060493833,127.0548888307,bus,106
167,대치사거리,37.5034252657,127.0582125979,bus,106
168,대치동현대아파트,37.501646012,127.0591748622,bus,106
169,은마아파트입구사거리,37.4987273789,127.0600675492,bus,106
170,도곡초등학교,37.4976896078,127.0566485239,bus,106
171,한티역2번출구.서울강남고용노동지청,37.4967735576,127.0539289896,bus,106
172,신논현역,37.5046361677,127.0257548004,bus,101
173,삼정호텔앞,37.5062420273,127.0311108359,bus,101
174,차병원,37.50553234,127.0344860558,bus,101
175,차병원,37.5060900826,127.034620914,bus,101
176,언주역5번출구.차병원사거리,37.5073948067,127.0348624465,bus,101
177,시티프라디움더강남.라움아트센터,37.5079882917,127.0388431877,bus,101
178,라움아트센터.시티프라디움더강남,37.5075256865,127.0398643568,bus,101
179,아크로힐스논현,37.5091077534,127.0406479555,bus,101
180,선정릉역4번출구.시니어플라자,37.5098268696,127.0430848706,bus,101
181,선정릉역.무형문화재전수회관,37.5092335728,127.0440935191,bus,101
182,선릉역,37.5058843866,127.0481759639,bus,101
183,서울상록회관.한국기술센터,37.503232,127.044057,bus,101
184,KT강남지사,37.5047549674,127.0419791463,bus,101
185,KT강남지사,37.5047578524,127.0414645036,bus,101
186,아가방빌딩.하나은행,37.5015409767,127.0386328674,bus,101
187,역삼역.GS타워,37.5014045842,127.0368321879,bus,101
188,역삼역,37.5016570588,127.036296199,bus,101
189,역삼역,37.5004418394,127.0350786317,bus,101
190,강남역12번출구,37.4988294041,127.0298390986,bus,101
191,강남역,37.4999348463,127.0269678944,bus,101
192,신논현역.구교보타워사거리,37.502359976,127.0257902121,bus,101
193,강남역.역삼세무서,37.4981357274,127.0291477897,bus,101
194,역삼역.포스코타워역삼,37.4995717499,127.0337900061,bus,101
195,영동중앙교회,37.4981539451,127.0379751499,bus,101
196,강남보건소.강남구립국제교육원,37.5155194988,127.0420406067,bus,105
197,역삼럭키아파트.역삼월드메르디앙아파트,37.491838771,127.0387194718,bus,101
198,역삼초등학교,37.494097481,127.034025034,bus,101
199,역삼초등학교,37.4943308436,127.0341054359,bus,101
200,뱅뱅사거리.역삼동,37.4902625053,127.033598088,bus,101
201,역삼초등학교,37.492195273,127.0306529668,bus,101
202,역삼2동주민센터.대림역삼아파트,37.496245263,127.0459926766,bus,101
203,래미안.그레이튼.아파트,37.4959516503,127.0456136271,bus,101
204,역삼자이아파트,37.4998041369,127.0442567199,bus,101
205,역삼동성당.역삼자이아파트,37.4998793449,127.0437950854,bus,101
206,역삼동개나리아파트,37.4993812973,127.0477691476,bus,101
207,역삼동개나리아파트,37.4994508516,127.0473484575,bus,101
208,총지사,37.4961932806,127.0402858339,bus,101
209,총지사,37.4966904984,127.0408425358,bus,101
210,영동중앙교회,37.4977185179,127.03857548,bus,101
211,한서병원,37.501137,127.038818,bus,101
212,한국자산신탁.센터필드,37.502783,127.044247,bus,101
213,진선여자중고등학교,37.5022648571,127.0498724735,bus,101
214,역삼e-편한세상아파트,37.4992545645,127.0512977977,bus,101
215,한티역,37.4972023372,127.0522475418,bus,101
216,한티역7번출구,37.4958925195,127.0513667479,bus,101
217,역삼중학교.강남세브란스병원,37.49471181,127.0476983171,bus,101
218,도곡1차아이파크.역삼청소년수련관,37.4928082151,127.0417858592,bus,101
219,총지사,37.4949426926,127.0398633221,bus,101
220,도곡1동주민센터.역삼럭키아파트,37.4915800523,127.0390292015,bus,118
221,도곡1차아이파크.도곡중학교,37.4926349836,127.0424021052,bus,118
222,매봉삼성아파트SK리더스뷰,37.4881449495,127.0489606775,bus,118
223,매봉역양재최의원,37.4861642605,127.0445616798,bus,118
224,양재역말죽거리.강남베드로병원,37.4852510407,127.0379686178,bus,118
225,뱅뱅사거리.구영동중학교,37.4877243166,127.032807632,bus,118
226,고속철도수서역,37.4848498526,127.1036016062,bus,112
227,뱅뱅사거리뱅뱅프라자,37.4897472768,127.0328763684,bus,118
228,매봉역,37.4859190024,127.0449776694,bus,118
229,도곡개포한신아파트,37.487972,127.04938,bus,118
230,도곡동개포한신아파트,37.487046846,127.0502898045,bus,118
231,우성캐릭터빌아파트,37.4870096821,127.0508009097,bus,118
232,군인공제회관,37.4891681578,127.0521107665,bus,118
233,선정릉역라마다서울호텔,37.5104190338,127.0451213206,bus,105
234,숙명여고,37.4897356961,127.0524662508,bus,118
235,도곡렉슬아파트.강남세브란스병원,37.4944367753,127.0481867043,bus,118
236,한티역6번출구,37.495722,127.05194,bus,118
237,도곡렉슬아파트정문,37.4947508051,127.053435578,bus,118
238,중대부고앞,37.492538,127.054525,bus,118
239,구룡중학교앞,37.485803,127.057243,bus,103
240,개포고등학교앞,37.484231,127.058605,bus,103
241,개포1단지,37.482588,127.06061,bus,103
242,개포파크빌리지,37.4767507104,127.0583603693,bus,103
243,하나은행사거리,37.4808563189,127.0542194513,bus,103
244,현대아파트경남아파트,37.4827274791,127.0531952093,bus,103
245,우성3차아파트,37.4831736073,127.0568897219,bus,103
246,개일초등학교앞,37.4860067851,127.0573427938,bus,103
247,개포고등학교,37.484374823,127.0586456019,bus,103
248,개포1단지연금매장,37.4826779173,127.0606773703,bus,103
249,래미안블레스티지아파트,37.4802460794,127.0636367512,bus,103
250,개포도서관,37.4837015782,127.0640806819,bus,103
251,수도전기공고후문,37.484782057,127.0656239958,bus,103
252,수도전기공고후문,37.485273,127.065984,bus,103
253,디에이치아너힐즈,37.484500034,127.0682003092,bus,103
254,주공4단지,37.483723417,127.069283298,bus,103
255,경기여고,37.48653,127.067244,bus,103
256,개포동역.개포시장,37.4884889232,127.0661225469,bus,103
257,개포주공5단지경기여고,37.4867075784,127.0674711689,bus,103
258,개포동역.개포시장,37.4884344158,127.0664157055,bus,103
259,개포시장.개포5단지상가,37.489554,127.068378,bus,103
260,개포시장.개포5단지상가,37.4893130095,127.0684494389,bus,103
261,양전초등학교,37.490243,127.070593,bus,103
262,개포6단지앞,37.4899488254,127.0705986589,bus,103
263,디에이치자이개포아파트,37.4922272031,127.0757916225,bus,114
264,개원중학교,37.492262,127.072156,bus,103
265,개포주공7단지앞,37.488952997,127.0737267782,bus,103
266,연금매점,37.4882473096,127.0747982136,bus,114
267,현대아파트,37.4822653767,127.0528285196,bus,103
268,개포래미안포레스트,37.4803683184,127.0540443371,bus,103
269,능인선원앞,37.4724246532,127.0522540318,bus,103
270,구룡산입구,37.4774450135,127.0620455446,bus,103
271,능인선원앞,37.4717704673,127.0522140057,bus,103
272,구룡초등학교,37.480753935,127.0530683183,bus,103
273,광수빌딩,37.4790607546,127.0493324033,bus,103
274,국민은행그린공원,37.4787698164,127.0468254619,bus,103
275,포이사거리삼호물산,37.4784379636,127.0451416579,bus,103
276,포이사거리삼호물산,37.4782848028,127.0451927037,bus,103
277,국민은행그린공원,37.4785641982,127.0472425588,bus,103
278,광수빌딩,37.4788507294,127.0494939548,bus,103
279,개포4동주민센터개포지구대,37.4794452914,127.0512070611,bus,103
280,구룡초등학교,37.4804474803,127.0529957325,bus,103
281,수서삼성아파트앞,37.4843993977,127.0909893034,bus,115
282,일원본동주민센터,37.4834885153,127.0847497652,bus,114
283,푸른마을아파트앞,37.4829129209,127.0805834065,bus,114
284,상록수아파트앞,37.4828046299,127.0821222482,bus,114
285,일원본동주민센터,37.4833831017,127.0859753943,bus,114
286,수서119.안전센터앞,37.4843205406,127.0937686591,bus,115
287,삼성서울병원정문,37.4865445092,127.0829902821,bus,114
288,삼성서울병원정문건너편,37.4870251768,127.0824491516,bus,114
289,일원역,37.4851178573,127.083279317,bus,114
290,삼성서울병원후문,37.4901997236,127.0875200547,bus,114
291,글래드라이브강남호텔,37.5078051738,127.036340012,bus,101
292,을지병원포포인츠강남&호텔선샤인,37.5201296971,127.0288547701,bus,107
293,삼성서울병원사거리,37.4891453359,127.0826482499,bus,114
294,강남한양수자인아파트,37.4782539161,127.1138013671,bus,112
295,강남한양수자인아파트,37.477818,127.113478,bus,112
296,대치아파트,37.4924140029,127.0724873208,bus,103
297,대청역,37.4932344092,127.0788924716,bus,114
298,마루공원,37.4946712918,127.0833781371,bus,114
299,대청초등학교,37.493870617,127.0865721019,bus,114
300,일원1동주민센터,37.4919722007,127.0875119448,bus,114
301,수서역현대벤쳐빌,37.4876513072,127.1022257643,bus,115
302,수서역,37.4883076816,127.1007452609,bus,115
303,수서역KT수서지점,37.4884191226,127.1000329815,bus,115
304,수서역KT수서지점,37.4871885183,127.1007358421,bus,115
305,세곡문화복지관,37.4691406041,127.1081157396,bus,113
306,궁마을,37.4853495847,127.0972460057,bus,115
307,궁마을,37.4852808034,127.0976066393,bus,115
308,수서역,37.4868771167,127.1019666899,bus,115
309,수서역5번출구,37.4869636034,127.1024565504,bus,115
310,수서역.로즈데일빌딩,37.4873984409,127.1028677279,bus,115
311,세곡문화복지회관,37.4689447525,127.1078609297,bus,113
312,은곡마을.LH이편한세상,37.4655279204,127.1026344423,bus,111
313,강남신동아파밀리에1단지,37.4651420524,127.1002962266,bus,111
314,대왕초등학교,37.4646708281,127.1068384861,bus,111
315,세곡동사거리,37.4635777855,127.1078294794,bus,111
316,세곡동,37.4646295101,127.1096940165,bus,111
317,광연자동차학원앞,37.4656909003,127.1163609853,bus,111
318,삼일자동차학원.강남자동차검사소,37.4679153957,127.1211804938,bus,113
319,삼일자동차학원.강남자동차검사소,37.4679987199,127.1207679842,bus,113
320,광연자동차학원앞,37.4670229687,127.1188445352,bus,111
321,세곡동,37.4650595561,127.1095491772,bus,111
322,세곡동사거리,37.4656874635,127.1086114219,bus,111
323,방죽마을,37.4723873002,127.1072569387,bus,113
324,래미안포레아파트,37.4744402381,127.1067201656,bus,113
325,쟁골마을,37.4820155276,127.1051606243,bus,112
326,쟁골마을,37.4826545844,127.1043990475,bus,112
327,래미안포레아파트,37.4751251698,127.1061715911,bus,112
328,방죽마을,37.4722247345,127.106920465,bus,113
329,압구정역3번출구,37.5260014748,127.0287139855,bus,107
330,국민은행압구정지점,37.5235045824,127.0284969369,bus,107
331,언주역2번출구.차병원사거리,37.5079530218,127.0333616903,bus,108
332,영동고교앞,37.5215035461,127.0398932882,bus,104
333,개포우성6차아파트,37.4756132506,127.0578352239,bus,103
334,은곡마을진입로,37.465765644,127.0985783615,bus,111
335,탄천교,37.501358,127.068123,bus,106
336,우성아파트,37.5010463418,127.0683334735,bus,106
337,세곡푸르지오,37.4650999852,127.0949599244,bus,111
338,삼성역,37.5072431315,127.0636517443,bus,106
339,세곡푸르지오,37.465062,127.096478,bus,111
340,세곡2지구3.4단지,37.4767574013,127.1098002318,bus,112
341,개포우성아파트,37.4765644257,127.0578638641,bus,103
342,래미안강남힐즈,37.4723483229,127.0973806587,bus,112
343,세곡중학교.세명초등학교,37.4703937932,127.0915600859,bus,112
344,세곡중학교.세명초등학교,37.4703214145,127.0923754774,bus,112
345,일원동한솔아파트,37.4824720603,127.0795788268,bus,114
346,시립수서청소년수련관,37.483863,127.089107,bus,115
347,포스코사거리,37.5078337216,127.0557931346,bus,105
348,대왕초등학교,37.465113844,127.106685919,bus,111
349,그랑프리백화점,37.4900100449,127.0555062053,bus,118
350,개포중학교,37.480169,127.063512,bus,103
351,구룡마을,37.478975,127.064041,bus,103
352,개포주공1단지아파트,37.4783919519,127.0567996147,bus,103
353,영희초등학교,37.4911914327,127.0804871277,bus,114
354,못골마을.LH강남아이파크,37.4734122417,127.1016355065,bus,112
355,못골마을,37.4731023528,127.1018882443,bus,112
356,태화기독교.사회복지관,37.4845282141,127.0933527923,bus,115
357,개포도서관,37.483553,127.063564,bus,103
358,도곡교회.인바디빌딩,37.4744335616,127.0554585033,bus,103
359,강남세브란스병원,37.4933990531,127.0473231493,bus,118
